<http://dati.san.beniculturali.it/SAN/produttore_SIUSA_san.cat.sogP.331>	Ospedale neuropsichiatrico provinciale <Racconigi>
<http://id.loc.gov/authorities/subjects/sh2002004407>	R <Programma per elaboratori>
<http://openalex.org/C2779277453>	Modelli di ordine ridotto
<http://openalex.org/C2910204757>	Polinesiani
<http://vocab.getty.edu/page/tgn/4005361>	Italia centrale
<https://ark.frantiq.fr/ark:/26678/pcrtMHomqTjzkz>	Normanni
<https://d-nb.info/gnd/1024554716>	MOSE
<https://w3id.org/arco/resource/ArchitecturalOrLandscapeHeritage/0800603245>	Chiesa della SS. Annunziata <Cortemaggiore>
<https://archive.org/details/gri_33125010859888>	Antichità di Cora
