<TM-159>	L'origine della transactio
<TM-160>	Michele Antonio Fino
<TM-161>	Sassuolo Gestioni Patrimoniali
<TM-162>	Gerti Frankl Tolazzi
<TM-163>	Cassa rurale Alta Valsugana
<TM-164>	Renzo Tonello
<TM-165>	De re publica Atheniensium
<TM-166>	Centro nazionale vocazioni
<TM-167>	Sergio Fallani
<TM-168>	Lia Finzi
<TM-169>	Società di mutuo soccorso degli artisti ed operai di Arezzo
<TM-170>	Russia Suchoputnye vojska
<TM-171>	Angelo Inglese
<TM-172>	Carmine Forgione
<TM-173>	Le mie stagioni
<TM-174>	Museo archeologico arte sacra
<TM-175>	Teresa nella parte di Giovanna d'Arco in prigione (tavola ottica)
<TM-176>	Adriano De Laurentis
<TM-177>	Fondo Porcia Ricchieri
<TM-178>	Attilio M. Cecchini
<TM-179>	Veniero Scarselli
<TM-180>	Gli amori di Leandro ed Ero
<TM-181>	Mauro Mazzali
<TM-182>	Casa circondariale di Arezzo
<TM-183>	Società di mutuo soccorso artieri di Trento
<TM-184>	Langosteria <ristorante>
<TM-185>	Alberto Meli
<TM-186>	Donazione Meli
<TM-187>	Nestorio Sacchi
<TM-188>	Montiglio Taglierini <famiglia>
<TM-189>	Franca Fendi
<TM-190>	Viera Mattioli
<TM-191>	Carte d'Arborea
<TM-192>	Raffaello Franci
<TM-193>	Unione italiana disegno
<TM-194>	Riccardo Tondolo
<TM-195>	Istituto Nostra Signora delle Grazie <Nizza Monferrato>
<TM-196>	Caterina Salvi Westbrooke
<TM-197>	Aniello Manganiello
<TM-198>	Battaglia di San Pietro in Cerro <1945>
<TM-199>	Angelo Misuraca
<TM-200>	Gruppi di preghiera di Padre Pio
<TM-201>	Paola Dalla Chiesa
<TM-202>	Scuola media Bartolomeo Malfatti <Mori>
<TM-203>	Dossale d'argento <Museo dell'Opera del Duomo di Firenze>
<TM-204>	Istituto clinico Porta Sole <Perugia>
<TM-205>	La letteratura italiana nel secolo
<TM-206>	Carlo Alberti Mastrelli
<TM-207>	Esperienze pastorali
<TM-208>	Pio istituto dei Buonomini di San Martino <Firenze>
<TM-209>	La violenza nel matrimonio in diritto canonico
<TM-210>	Rifugio Maria Vergine Assunta in Cielo <Prato>
<TM-211>	Federazione italiana lavoratori delle costruzioni e affini
<TM-212>	Cattedrale di Solomon
<TM-213>	Archivio fotografico Paolo Graziosi
<TM-214>	Via della Madre di Dio <Genova>
<TM-215>	Fondazione Pio Alferano e Virginia Ippolito
<TM-216>	Associazione italiana contro le leucemie
<TM-217>	Die Verfassung Deutschlands
<TM-218>	Collezione Gimo
<TM-219>	Enciclopedia italiana di scienze lettere ed arti
<TM-220>	Battaglia di Trivio Paradiso <1918>
<TM-221>	Mulino dell'Altare <Barberino Tavarnelle>
<TM-222>	De mente heroica
<TM-223>	Marisa Baroni
<TM-224>	Coadiutori Salesiani
<TM-225>	Corso di laurea in scienze della formazione primaria
<TM-226>	Bardini <famiglia>
<TM-227>	Viaggio di Parnaso
<TM-228>	Maria Rebecca Ballestra
<TM-229>	Vocabolario grammatica e ortografia della lingua volgare
<TM-230>	Lucia Daniotti
<TM-231>	Eugenio Dalla Fior
<TM-232>	Quartiere Ràbato <Agrigento>
<TM-233>	Sonetos del amor oscuro
<TM-234>	Leonardo Nava
<TM-235>	Corso Guicciardini
<TM-236>	Fondazione Conservatorio San Girolamo
<TM-237>	Gianfranco Piantoni
<TM-238>	Sabatino Ferrali
<TM-239>	Raffaele Rascio
<TM-240>	Archivio Papafava Antonini dei Carraresi
<TM-241>	L'Ovile <Reggio Emilia>
<TM-242>	Pietro Saul Faustino
<TM-243>	Copan group <azienda>
<TM-244>	Mauro Ghiglione
<TM-245>	Collezione Antonino De Simone
<TM-246>	Lucio Sicca
<TM-247>	Società operaia di mutuo soccorso ed istruzione <Cividale del Friuli>
<TM-248>	Giacomo Zaganelli
<TM-249>	Cerva bianca
<TM-250>	Dante Lazzeri
<TM-251>	Tenuta demaniale di Follonica
<TM-252>	Associazione stampa subalpina
<TM-253>	Mario Almerighi
<TM-254>	Elio Fanara
<TM-255>	Katerina Thomadaki
<TM-256>	Auguste fulminant
<TM-257>	Nicoletta Giavotto
<TM-258>	Cascina Palma <Milano>
<TM-259>	Salvatore Boscarino
<TM-260>	Domenico Saracino
<TM-261>	Il Varmo
<TM-262>	Sala degli angeli
<TM-263>	Bruno Fabi
<TM-264>	Franco Gambogi
<TM-265>	Bookrepublic
<TM-266>	Maya Liebl
<TM-267>	Rete milanese vulnerabili
<TM-268>	Gaetano Rasola
<TM-269>	Girolamo Carrera
<TM-270>	Turillo Sindoni
<TM-271>	Guida spirituale per l'emigrato italiano nella America
<TM-272>	Maria Pia Fanna Roncoroni
<TM-273>	Valle del M'Zab
<TM-274>	Miguel Vaaz
<TM-275>	Orto Botanico di San Giobbe <Venezia>
<TM-276>	Banda degli Ottoni a Scoppio <Bande>
<TM-277>	Giancarlo Broggian
<TM-278>	Centro italiano femminile <Grosseto>
<TM-279>	Carmina. L.
<TM-280>	Gesù in orazione <Basilica dell'Agonia ; Gerusalemme>
<TM-281>	Casa circondariale di Rebibbia
<TM-282>	Jacopo Brogioni
<TM-283>	san Giovanni e l'angelo <Pinacoteca del Castello Sforzesco; Milano> Madonna col Bambino
<TM-284>	Ritiro San Pellegrino <Bologna>
<TM-285>	Enrico Bussetti
<TM-286>	Perì tìs Meneláou plánis
<TM-287>	Epitome proverbiorum
<TM-288>	Vincenzo Panuccio
<TM-289>	Elegidia
<TM-290>	Geraldini <famiglia>
<TM-291>	Fulvio Giaracuni
<TM-292>	Asdrubale Febonio
<TM-293>	Hypokritès Teatro Studio <compagnia teatrale>
<TM-294>	Mario Alberto Soldatini
<TM-295>	Antonio De Inghibertis de Castro
<TM-296>	Circolo Verso l'Europa
<TM-297>	Museo della Tonnara <Stintino>
<TM-298>	Contratti d'albergo
<TM-299>	Abbazie Cistercensi
<TM-300>	Cioni Carpi
<TM-301>	Terme del Nuotatore <Ostia antica>
<TM-302>	Imagini de gli dei indiani
<TM-303>	Foa <famiglia>
<TM-304>	Ezio Garroni
<TM-305>	Lodovico Acernese
<TM-306>	Marianna Mordini
<TM-307>	Villa Helycon <Castiglion Fibocchi>
<TM-308>	Franco Anichini
<TM-309>	Teatro della Maddalena <Roma>
<TM-310>	Centrale idroelettrica Ludovico il Moro <Vigevano>
<TM-311>	Mauro Damiani
<TM-312>	Mario Biondo
<TM-313>	Paolo Scandone
<TM-314>	Giorgio Fabretti
<TM-315>	Manlio Bucci
<TM-316>	Scalvinetto <Legnago>
<TM-317>	Pinacoteca D'Errico
<TM-318>	Gerardo Sasso <beato>
<TM-319>	Galleria dell'Obelisco <Roma>
<TM-320>	Fani <famiglia>
