<http://viaf.org/viaf/38204906>	Abraham ben Eliezer ha-Levi
<http://viaf.org/viaf/27193071>	Abraham Berliner
<http://viaf.org/viaf/42112130>	Abraham Bloteling
<http://viaf.org/viaf/74666546>	Abraham Buchholzer
<http://viaf.org/viaf/73968086>	Abraham Cahan
<http://viaf.org/viaf/49477662>	Abraham Calovius
<http://viaf.org/viaf/31144814304012432549>	Abraham Cohen de Herrera
<http://viaf.org/viaf/122322137>	Abraham de Blois
<http://viaf.org/viaf/13925210>	Abraham de Blois
<http://viaf.org/viaf/34726681>	Abraham de Bruyn
<http://viaf.org/viaf/12652402>	Abraham de Grau
<http://viaf.org/viaf/514144782721538535482>	Abraham de La Faye
<http://viaf.org/viaf/89011847>	Abraham Farissol
<http://viaf.org/viaf/96272736>	Abraham Farissol
<http://viaf.org/viaf/24735888>	Abraham Flexner
<http://viaf.org/viaf/95798962>	Abraham Girardet
<http://viaf.org/viaf/66613610>	Abraham Goldfaden
<http://viaf.org/viaf/90633023>	Abraham ibn ‛Ezra
<http://viaf.org/viaf/6920036>	Abraham Isaac Castello
<http://viaf.org/viaf/7740287>	Abraham Jacob van der Aa
<http://viaf.org/viaf/10655424>	Abraham Jacobi
<http://viaf.org/viaf/4931176>	Abraham Joshua Heschel
<http://viaf.org/viaf/32332502>	Abraham Loeb
<http://viaf.org/viaf/24633532>	Abraham Loescher
<http://viaf.org/viaf/89339613>	Abraham Luzzatto
<http://viaf.org/viaf/93254789>	Abraham M. Lilienfeld
<http://viaf.org/viaf/73899556>	Abraham Maslow
<http://viaf.org/viaf/9850578>	Abraham Merritt
<http://viaf.org/viaf/59138517>	Abraham Pais
<http://viaf.org/viaf/72638397>	Abraham Rotstein
<http://viaf.org/viaf/39392330>	Abraham Sachs
<http://viaf.org/viaf/100909491>	Abraham Schalit
<http://viaf.org/viaf/7444594>	Abraham Scultetus
<http://viaf.org/viaf/166093837>	Abraham Smesmann
<http://viaf.org/viaf/59902477>	Abraham Smesmann
<http://viaf.org/viaf/280794903>	Abraham van Berkel
<http://viaf.org/viaf/30480238>	Abraham van Berkel
<http://viaf.org/viaf/24866132>	Abraham van Diepenbeeck
<http://viaf.org/viaf/17997690>	Abraham Vater
<http://viaf.org/viaf/66476673>	Abraham Wheelocke
<http://viaf.org/viaf/90680035>	Abraham Wolfgang
<http://viaf.org/viaf/41848108>	Abraham Yehoshua
<http://viaf.org/viaf/100216826>	Abraham Zacuto
<http://viaf.org/viaf/25034513>	Abraham Zacutus Lusitanus
<http://viaf.org/viaf/95298680>	Abraham-Louis-Rodolphe Ducros
<http://viaf.org/viaf/34735969>	Abram Cytryn
<http://viaf.org/viaf/59126890>	Abram de Swaan
<http://viaf.org/viaf/5670390>	Abram Efros
<http://viaf.org/viaf/13108063>	Abram Lezhnev
<http://viaf.org/viaf/109529155>	Abram Salmon Benenson
<http://viaf.org/viaf/4961518>	Abramo Abulafia
<http://viaf.org/viaf/79054878>	Abramo Abulafia
<http://viaf.org/viaf/313440781>	Abramo Colorni
<http://viaf.org/viaf/9477225>	Abramo di Balmes
<http://viaf.org/viaf/212155908>	Abramo di Efeso
<http://viaf.org/viaf/61787613>	Abramo Ecchellense
<http://viaf.org/viaf/88922122>	Abramo Freschi
<http://viaf.org/viaf/53363905>	Abramo Levi
